"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"13035",2,3,8,5,5,4
"13038",0,0,0,0,0,0
"13039",0,5,6,4,5,5
"13040",5,0,4,5,3,3
"13041",0,0,0,7,5,5
"13042",0,0,0,0,0,0
"13046",7,1,8,6,3,3
"13047",8,2,5,1,5,2
"13049",6,7,8,8,5,6
"13050",7,10,0,0,0,0
"13051",5,4,5,3,3,4
"13053",0,0,0,0,0,0
"13054",10,5,5,5,5,5
"13056",4,8,5,3,7,2
"13057",5,10,0,8,7,4
"13058",3,5,2,1,1,4
"13062",3,2,4,4,0,0
"13063",0,0,5,4,2,2
"13064",6,5,4,2,3,3
"13065",2,4,4,4,3,0
"13066",1,4,3,2,5,1
"13067",4,8,4,5,5,5
"13069",0,0,0,0,0,0
"13070",3,8,5,2,4,2
"13071",7,0,5,7,3,3
"13073",5,7,7,5,4,4
"13074",5,6,4,5,4,2
"13075",0,5,0,0,5,0
"13077",0,4,2,0,0,0
"13081",1,0,6,4,0,2
"13082",8,7,8,6,5,5
