"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"13883",6,7,1,5,8,9,4
"13884",8,7,0,7,0,5,4
"13885",8,10,0,8,3,8,4
"13886",7,6,5,8,3,7,8
"13887",7,6,0,7,9,5,1
"13888",7,2,0,7,2,1,0
"13889",4,6,1,3,9,5,2
"13890",9,6,1,5,5,7,4
"13891",7,7,0,2,1,4,8
"13892",7,9,2,5,5,7,8
"13893",4,7,8,5,8,5,4
"13894",7,5,0,4,5,5,5
"13895",0,5,0,0,3,5,0
"13896",8,8,0,6,5,6,5
"13898",10,8,0,8,5,5,3
"13899",5,5,6,4,5,4,5
"13900",5,9,1,3,2,2,6
"13902",3,1,10,6,0,0,6
"13903",6,9,0,3,0,3,3
"13904",7,9,0,5,7,8,2
"13905",7,9,0,3,3,7,8
"13906",0,0,5,3,6,6,4
"13908",7,7,5,5,5,6,5
"13909",10,9,0,9,9,8,9
"13910",5,5,0,4,3,4,5
"13911",8,8,0,6,7,10,7
"13912",9,9,0,7,4,8,7
"13913",3,8,0,3,5,7,2
"13914",6,8,0,7,1,7,5
"13915",9,10,0,2,0,8,0
"13916",6,8,0,5,4,6,6
"13917",10,8,0,7,6,8,7
"13918",8,6,0,7,7,10,6
"13919",6,9,0,5,6,10,1
"13921",7,7,0,0,10,8,0
"13922",4,7,8,6,5,1,8
"13923",6,8,0,4,8,8,5
"13924",8,7,0,3,5,8,4
"13925",3,8,0,3,9,9,0
"13926",8,6,0,7,4,7,6
"13927",9,9,0,8,5,7,7
"13928",2,5,0,0,5,7,0
"13929",8,0,7,9,7,2,6
"13930",6,8,0,6,7,8,3
"13931",9,8,0,7,0,8,9
"13932",6,7,0,7,3,9,4
"13933",8,8,0,5,7,8,2
"13934",9,8,1,9,6,7,7
"13935",8,5,0,7,7,10,2
"13936",4,7,0,6,5,8,2
"13937",8,7,6,7,6,6,7
"13938",4,9,0,5,5,7,0
"13939",6,8,0,5,6,9,5
"13940",7,7,0,6,6,9,5
"13941",9,8,0,9,3,6,7
"13942",4,4,0,3,3,3,4
"13943",6,8,5,6,4,3,5
"13944",6,6,0,4,5,8,1
"13945",8,7,0,8,5,8,4
"13946",9,9,0,7,3,8,8
"13947",7,6,0,4,10,0,7
"13948",5,7,0,2,4,6,2
"13949",9,9,5,8,8,7,8
"13950",8,7,2,9,5,8,6
"13951",9,8,0,7,8,8,9
"13952",9,10,2,8,7,8,9
"13953",9,5,2,6,2,9,5
"13954",5,5,5,5,5,5,5
"13955",6,7,1,6,5,8,4
"13956",8,9,0,6,8,8,6
"13957",8,5,0,10,0,5,7
